activities,content_type,creation_time,id,is_branded_content,lang,link_attachment.caption,link_attachment.description,link_attachment.link,link_attachment.name,match_type,mcl_url,modified_time,multimedia,post_owner.type,post_owner.id,post_owner.name,post_owner.username,shared_post_id,statistics.angry_count,statistics.care_count,statistics.comment_count,statistics.haha_count,statistics.like_count,statistics.love_count,statistics.reaction_count,statistics.sad_count,statistics.share_count,statistics.views,statistics.views_date_last_refreshed,statistics.wow_count,surface.type,surface.id,surface.name,surface.username,text
,videos,2025-01-31T22:20:11+00:00,527761316397423,false,de,,,,,,https://www.facebook.com/transparency-tools/content-library/dataset/1119037145491882/facebook/post/527761316397423/,2025-02-01T00:46:45+00:00,"[{""id"":""1126875528650309"",""type"":""video"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZsAGZ_03zNohpUyj7CqSIgLm5R6HIF190matYtQzx8RBl5xRg2BhrdRAk-zA9v1uk54SpKm1e4drzwo7NlvhYbEzckvVFzajCC2lNmgEPKzGoqZMWtXZIJAKh1cKRoSwZOtL64H6p1-EFCyQVvcJg""}]",page,392030636531909,"Olaf Scholz",olafscholz,,176,0,972,237,452,23,894,5,104,8413,2025-02-01,1,page,392030636531909,"Olaf Scholz",olafscholz,"Meine Reaktion auf diese Woche: Friedrich Merz hat ein Tabu gebrochen, indem er Mehrheiten mit Rechtsextremen gesucht hat. Aber er hat sich verzockt. 

Als Bundeskanzler werde ich dafür sorgen, dass die Hand gegenüber den demokratischen Parteien auch in der Migrationspolitik ausgestreckt bleibt. Zum Wohle unseres Landes."
,photos,2025-01-31T21:59:46+00:00,1034759392019382,false,de,,,,,,https://www.facebook.com/transparency-tools/content-library/dataset/1119037145491882/facebook/post/1034759392019382/,2025-02-01T04:10:02+00:00,"[{""id"":""637523005343033"",""type"":""photo"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZtgmtdkwLZg1r-dHpp0aRZ3TSaxXHzYpiP0mNFeG_YpODLvEVQut9YxmO0pfSE0VFSPVajsoikUekn1rkroFYKif4PeQomfQOvNOoTAcK5wDbf56ZB5tQt0Ycd9RqZHZXWge1mBwE6UKC2hceN_""}]",page,1089863868701230,"Die Linke",linkspartei,,34,0,913,166,1441,173,1822,3,221,11194,2025-02-01,5,page,1089863868701230,"Die Linke",linkspartei,"Es ist simple Mathematik: Ohne die 27 Stimmen der Linken hätte die Union heute mit der AfD und FDP eine Mehrheit gehabt.

Für eine starke Linke im Bundestag: Am 23.2. Die Linke wählen 🗳️ #DeshalbDieLinke"
,albums,2025-01-31T21:08:47+00:00,644899647896524,false,de,,,,,,https://www.facebook.com/transparency-tools/content-library/dataset/1119037145491882/facebook/post/644899647896524/,2025-02-01T03:39:12+00:00,"[{""id"":""1135144361081576"",""type"":""photo"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZsXyidkU9C1zZUZgwAH2jCP9OLNJixQ_bNdWHwV-iJEuQAGgzdge-sQVO04H7N5m80NwifVHgVqiChD6m30_Xve5ALprxvp5SXcexGlQNiqIOMEXIxBnLIs10EzaGdPnefOxAHXnaHZfcLj-hzSaA""},{""id"":""1689376498672788"",""type"":""photo"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZs47qH8vhlkxY4Rmu8BpLiZItFvb1AotNHd0e7V2oOuzGrn5NM2HBQCvuVCzCeQM3N3zsAGRlailnXEwzhkQKLe29qvmk66lFVWgxEzLR9deFMKcCW09vlCvgqoDwfVo2YEbMOgYQtaZk0KfSDKcg""},{""id"":""592867860226821"",""type"":""photo"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZsndFpOUVoCvTWbWeFFNflZQe3Dmt4GlOllqDr-3NBkwC9pQJiIknT8tdgIAQxxf66x5xz8DnW1V01VHxGGokiZgfORsNCWz3VtIpKLRJNC8lE6RAnRsIMKADWeDy5lbe8zMr18Leeai_KrL55c""},{""id"":""1102098441598456"",""type"":""photo"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZufmQKRNqLWh0pXeFCgWH3HlHBXWAQlGV6JDVQ6UjQuZyKSDHTCTmZIYeay5NQ4atghwdCLqQtFDdokmNIWF-zF7Efwylzii524Df-B1HUS20g5wY-epJ6M_tKwTRiGwDXuShGVkfjYcOhTE8nc6A""}]",page,1539608546867891,"Markus Söder",markus.soder.75,,61,0,520,68,460,10,603,2,14,32935,2025-02-01,2,page,1539608546867891,"Markus Söder",markus.soder.75,"Unterwegs in Oberbayern, beim Neujahrsempfang der CSU Traunstein mit Landrat und Bundestagskandidat Siegfried Walch, Michaela Kaniber und Konrad Baur. Vielen Dank an den Wahlkreisabgeordneten Peter Ramsauer, der 35 Jahre lang als Abgeordneter, Landesgruppenvorsitzender und Minister unglaublich viel für den Freistaat und den Wahlkreis geleistet hat und heute in Berlin für eine Begrenzung der Migration einstand. Mit Siegfried Walch steht ein junger und gleichzeitig sehr starker und erfahrener Kandidat als sein Nachfolger zur Wahl. Seit mehr als 10 Jahren leistet er als Landrat von Traunstein hervorragende Arbeit. Er kennt die Herausforderungen vor Ort, wie bei der Migration, aus erster Hand. Die Migration ist uns über den Kopf gewachsen. Es braucht eine echte Wende und eine Begrenzung. Mit den Radikalen von der AfD wird es definitiv keine Zusammenarbeit geben - weder vor, noch nach der Wahl. Eine wirksame Begrenzung der Migration kann es nur mit einer starken Union geben. Dafür steht auch Siegfried Walch. Eine Stimme für ihn ist eine Stimme für die Region, für Bayern und für den Politikwechsel. Stimmen für andere Parteien schwächen Bayern, verhindern den Politikwechsel und stärken am Ende Links-Grün. Deshalb am 23. Februar mit beiden Stimmen CSU wählen!"
,videos,2025-01-31T20:37:21+00:00,1012825627347672,false,,,,,,,https://www.facebook.com/transparency-tools/content-library/dataset/1119037145491882/facebook/post/1012825627347672/,2025-02-03T22:28:27+00:00,"[{""id"":""1012825627347672"",""type"":""video"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZsA4fl8_H1_4ZICRh1NgKH5Je7wUJGFAfKt42qBqIg4cZv1LX1T-AgiOkPUNn4e6ypmLqHexr6yPm3qJZ-vUVLglOQxI2pPxkiCuL2eJ1NtOqYYg6n-d8NR3jZ73js-qXIxYfS3L1KKz126bHDBxQ""}]",page,2590514261105616,FDP,FDP,,0,0,0,0,4,0,4,0,0,103,2025-02-01,0,page,2590514261105616,FDP,FDP,
,videos,2025-01-31T20:29:17+00:00,1524835322252644,false,de,,,,,,https://www.facebook.com/transparency-tools/content-library/dataset/1119037145491882/facebook/post/1524835322252644/,2025-01-31T21:05:02+00:00,"[{""id"":""611535478290740"",""type"":""video"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZt72yxsKb7SLpXqodeLBpc8O_T0DdUQlV1-FHIDuzE3PMDlE0ybv7UTMA8VF5q-qnXgLNcYdNKvVe5e4phCcXPkrVvY7X-vMGxlqJzr52MQnDjEAKJv8nv-0r4QsLbG_Vg4QkyNhzsjJOtT1CEZ""}]",page,1459050451333572,CDU,CDU,,32,0,1765,178,717,9,945,6,158,10253,2025-02-01,3,page,1459050451333572,CDU,CDU,"Die Menschen in Deutschland wollen einen echten #Politikwechsel in der Asyl- und Migrationspolitik. Dafür hat unser Kanzlerkandidat heute im Deutschen Bundestag geworben. Doch während Friedrich Merz in stundenlangen Gesprächen mit den Fraktionsvorsitzenden der auseinandergefallenen Ampel versucht hat, einen Kompromiss in der politischen Mitte zu ermöglichen, hat Olaf Scholz nur geschwiegen."
,videos,2025-01-31T20:28:17+00:00,530537706072934,false,de,,,,,,https://www.facebook.com/transparency-tools/content-library/dataset/1119037145491882/facebook/post/530537706072934/,2025-01-31T22:49:11+00:00,"[{""id"":""597098743299783"",""type"":""video"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZtliTdWfNO7b6KXMK2YXx_ccIsUQAwE0Ce843fp7RO7Or4Ij32FJZ8IdVhJake-7aHI-Hb2NqGntJ01FgJxlJr8s73c6iOVXzilAB-PIFWBKClbOiMLDW-AwEigTudCdO-DQbjK4K71WQmETXWH""}]",page,2590514261105616,FDP,FDP,,52,0,469,150,906,6,1125,6,73,15844,2025-02-01,5,page,2590514261105616,FDP,FDP,"Wir wollen die Probleme im Land lösen!
#JetztFDP"
,videos,2025-01-31T20:19:24+00:00,1764117227496548,false,,,,,,,https://www.facebook.com/transparency-tools/content-library/dataset/1119037145491882/facebook/post/1764117227496548/,2025-02-02T01:51:52+00:00,"[{""id"":""1764117227496548"",""type"":""video"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZuHSmkC6ChcwQc2u4dfHi8-XoQzTWlMKHhGsCVP67VMVDeCyA5tTYGqM7PiTeBKAdL_5COyXjPydCiR_otZ83FLo_YcrxoFQ660h2gtCxAGS3CBIaBQPD5eaTGefEvUZGJOb2m7UiPepSWbqf7y2Q""}]",page,2590514261105616,FDP,FDP,,0,0,0,0,1,0,1,0,0,,,0,page,2590514261105616,FDP,FDP,
,photos,2025-01-31T20:09:19+00:00,641333325020505,false,de,,,,,,https://www.facebook.com/transparency-tools/content-library/dataset/1119037145491882/facebook/post/641333325020505/,2025-02-01T06:30:03+00:00,"[{""id"":""1338905500628007"",""type"":""photo"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZvxd0seEO21I4JHz6TQfdlQ9696IT0Y0LQJu7hxFXo4PazOmWtOBU0Xq52Ei4C68QdmHg4KYZtLnj4Xj5G3v38bzTIKhQdfdYAQ2eODe3NpmDRT_dbFPi_lkEeGqvS3ZaCQRkwp6hFXOwZGxaGwew""}]",page,706442828288378,"Die PARTEI",DiePARTEI,,0,0,43,1,188,33,222,0,21,7130,2025-02-01,0,page,706442828288378,"Die PARTEI",DiePARTEI,"Zum Abschluss heute noch etwas Versöhnliches...
#SeriöserPopulismus"
,videos,2025-01-31T20:03:45+00:00,1692772491670764,false,,,,,,,https://www.facebook.com/transparency-tools/content-library/dataset/1119037145491882/facebook/post/1692772491670764/,2025-02-03T19:14:10+00:00,"[{""id"":""1692772491670764"",""type"":""video"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZu6qIWLgnwZBhyZ87xtnlSfd4NwPFPFfJknHPYMyN3jSVsqgiTbGQ-N0JPA3a6MuMXCP2zp4ESmwyt93Q3Z0yDZb-pkJWxPvmA68vsH1fYkaW9oZWyAz5x0QZQslyB_E1iiuGQJEK2uJ3jNUDxcEQ""}]",page,390737896761994,"Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit",BSW.Bund,,0,0,0,0,5,0,5,0,0,,,0,page,390737896761994,"Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit",BSW.Bund,
,albums,2025-01-31T19:35:41+00:00,586125380932073,false,de,,,,,,https://www.facebook.com/transparency-tools/content-library/dataset/1119037145491882/facebook/post/586125380932073/,2025-01-31T20:04:08+00:00,"[{""id"":""4024096687841983"",""type"":""photo"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZu2beFZbzxjwFjIvfgkT4mVRSS7JDoYpKqRof-iBh-04OOz4Cdnnw0VqZV33lqKDboAEgEDA3vJVK_iaBBRtxBds012pRYKyOxDv36erwpwBG6Uzj0Nr_yGoRsco4LnApZbwFMqp_ufO1hosZ5CCA""},{""id"":""1120436359567730"",""type"":""photo"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZuBl3bvaqBD90fxVVgxttVKGWvCASzsykX0T9_X5SEqoEMfls3L5HjVbGjGo9IV-GtB7YYsB_gDpHbdFCnsnOyYfVo-LIvabp2p7X61sFoi-MZWbzxtFmT1JGvxELyv-46MN4ulhfvEwKA_-mn0cQ""},{""id"":""584778147809017"",""type"":""photo"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZs3tPZCptU-CnnsOVFYRpBrNHeMOq4w-acYCpdehvUoaqqLPz7b3XRCQQB3cO7X6kYAtPVR-SDeq1PqsKrwSj5oW_ELwYbIJy6F6kSfQ8zzC6O3qI9h70jNOKJCXdO2NTW_NRjYQs2y0cOZIj3H""}]",page,360603663376469,V-Partei³,VPartei,,1,0,1,0,23,3,27,0,4,265,2025-02-01,0,page,360603663376469,V-Partei³,VPartei,"Veganuary 2025 - Vegane Helden
💚 Luisa Rösner-Aßmann💚

Was machst Du beruflich oder im Alltag?
„Mein Name ist Luisa und mit meiner veganen Tortenliebe begeistere ich Veganer und auch Nicht-Veganer und zeige, wie leicht und lecker es ist, vegan zu backen und dass man in Sachen Genuss auf nichts verzichten muss.”

Tipp für den Veganuary?
„Sei du die Veränderung, die du dir wünschst für diese Welt. Lebe deinen veganen Lifestyle vor und begeistere andere, vegan zu werden.“

Liebstes Veganuary-Rezept?
„Mein liebstes Gericht für den Januar: Zuchinipasta mit Avocadopesto.“

#veganuary2025 #Veganuary #veganrezepte #rezeptvegan #vegannews #veggies #veganfürdietiere #veganismus #govegan #vegandeutschland #tierrechte #torten #backen #kuchen #konditor #tortenliebe #konditorin #veganbacken"
